region,section,row_type,level,row_index,description,budget_anterieur,restes_a_realiser_n1,propositions_nouvelles,vote_assemblee,total_budget
Nouvelle-Aquitaine,investment_expense,data,1,1,Dont opérations pour comptes de tiers,0,0,2500000,2500000,2500000
Nouvelle-Aquitaine,investment_expense,data,0,2,92 Opérations non ventilées,0,0,1586150577.18,1586150577.18,1586150577.18
Nouvelle-Aquitaine,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
Nouvelle-Aquitaine,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,0,0,2703924625.18,2703924625.18,2703924625.18
Nouvelle-Aquitaine,investment_revenue,data,0,5,90 Opérations ventilées,0,0,348092000,348092000,348092000
Nouvelle-Aquitaine,investment_revenue,data,1,5,- Recettes affectées,0,0,335092000,335092000,335092000
Nouvelle-Aquitaine,investment_revenue,data,1,5,- Financement par le tiers de l’opération confiée à la collectivité,0,0,1.3e+07,1.3e+07,1.3e+07
Nouvelle-Aquitaine,investment_revenue,data,0,6,92 Opérations non ventilées (sauf 922-1068),0,0,2176074718.18,2176074718.18,2176074718.18
Nouvelle-Aquitaine,investment_revenue,data,0,7,954 Produit des cessions d'immobilisations,0,0,0,0,0
Nouvelle-Aquitaine,investment_revenue,data,0,8,951 Virement de la section de fonctionnement,0,,179757907,179757907,179757907
Nouvelle-Aquitaine,investment_revenue,data,0,9,922-1068 Excédents de fonctionnement capitalisés,0,,0,0,0
Nouvelle-Aquitaine,investment_revenue,data,0,10,001 Solde exécution invest. reporté,0,,0,0,0
Nouvelle-Aquitaine,operating_expense,section_header,0,11,DEPENSES DE FONCTIONNEMENT,0,0,3385682991,3385682991,3385682991
Nouvelle-Aquitaine,operating_expense,data,0,12,93 Services ventilés,0,0,2066283625,2066283625,2066283625
Nouvelle-Aquitaine,operating_expense,data,1,12,- en AE/CP,0,0,1581209418,1581209418,1581209418
Nouvelle-Aquitaine,operating_expense,data,1,12,- hors AE/CP,0,0,485074207,485074207,485074207
Nouvelle-Aquitaine,operating_expense,data,0,13,94 Services communs non ventilés,0,0,1139641459,1139641459,1139641459
Nouvelle-Aquitaine,operating_expense,data,0,14,953 Virement à la section d'investissement,0,,179757907,179757907,179757907
Nouvelle-Aquitaine,operating_expense,data,0,15,002 Résultat de fonctionnement reporté,0,,0,0,0
Nouvelle-Aquitaine,operating_revenue,section_header,0,16,RECETTES DE FONCTIONNEMENT,0,0,3385682991,3385682991,3385682991
Nouvelle-Aquitaine,operating_revenue,data,0,17,93 Services ventilés,0,0,140449688,140449688,140449688
Nouvelle-Aquitaine,operating_revenue,data,0,18,94 Services communs non ventilés,0,0,3245233303,3245233303,3245233303
Nouvelle-Aquitaine,operating_revenue,data,0,19,002 Résultat de fonctionnement reporté,0,,0,0,0
Occitanie,investment_expense,section_header,0,0,DEPENSES D’INVESTISSEMENT,2229802326.49,0,2360434712.87,0,2360434712.87
Occitanie,investment_expense,data,0,1,90 Opérations ventilées,1348034451,0,1201827511,0,1201827511
Occitanie,investment_expense,data,1,1,-en AP/CP (2),1286168651,0,1134017511,0,1134017511
Occitanie,investment_expense,data,1,1,-hors AP/CP (2),61865800,0,67810000,0,67810000
Occitanie,investment_expense,data,1,1,Dont opérations pour comptes de tiers,1341555.78,0,428953.38,0,428953.38
Occitanie,investment_expense,data,0,2,92 Opérations non ventilées,881767875.49,0,1158607201.87,0,1158607201.87
Occitanie,investment_expense,data,0,3,001 Solde exécution invest. reporté,0,,0,0,0
Occitanie,investment_revenue,section_header,0,4,RECETTES D’INVESTISSEMENT,2229802326.49,0,2360434712.87,0,2360434712.87
Occitanie,investment_revenue,data,0,5,90 Opérations ventilées,546617791,0,459186350,0,459186350
Occitanie,investment_revenue,data,1,5,-Recettes affectées,537232421,0,453046350,0,453046350
